Place,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Start,End,Latitide,Longitude
sawantwadi,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,15.9079601,73.8205306
alibag,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar,18.6498427,72.8765469
ajanta,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,20.532524,75.7513692
osmanabad,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,18.1853391,76.0419825
dapoli camp,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,Null,Null
shirdi,1,1,0,0,0,0,0,0,0,0,0,1,Dec,Feb,19.7668121,74.4754386
khandala,1,1,1,1,0,0,0,0,0,1,1,1,Oct,Apr,21.3469486,79.3930965122662
matheran,1,1,1,1,1,0,0,0,0,1,1,1,Oct,May,18.9901544,73.2700191
raigarh,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,22.5,83.5
dhule,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,20.898,74.7732
pune,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,18.5203062,73.8543185
murud janjira,1,1,1,1,1,1,0,0,1,1,1,1,Sept,Jun,18.3334545,72.9542408
kankavli,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,16.2601673,73.720613
kolhapur,1,1,0,1,1,0,0,0,0,1,1,1,Null,Null,16.7028412,74.2405329
chandrapur,1,1,1,1,1,0,0,0,0,1,1,1,Oct,May,20.0,80.0
panchgani,1,1,1,1,1,0,0,0,1,1,1,1,Sept,May,17.9239543,73.7992681
kudal,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,16.0092914,73.6887498
kolad,1,1,0,0,0,0,0,0,0,0,0,0,Jan,Feb,18.4059382,73.2072541
bhandardara,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,19.5551306,73.7558419
chikhaldara,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,21.4015758,77.3288834
chiplun,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,17.5322169,73.515724
karad,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,17.2852127,74.1822147
ratnagiri,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,17.27448005,73.2761783699303
dirang,1,1,1,1,0,0,0,0,0,1,1,1,Oct,Apr,27.36008,92.24121
bomdila,0,0,0,1,1,1,1,1,1,1,0,0,Apr,Oct,Null,Null
west siang,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,28.4,94.55
tawang,0,0,1,1,1,1,1,1,1,0,0,0,Mar,Sept,27.594917,91.8704278
itanagar,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,27.1018415,93.6292125
bhalukpong,0,0,0,0,0,0,0,0,0,0,1,1,Nov,Dec,27.0114865,92.644641
west kameng,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,27.4,92.35
neil island,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,-41.9933776,146.936140942354
havelock island,1,1,1,1,0,0,0,0,0,1,1,1,Oct,Apr,11.96523,92.9957840104167
port blair,0,0,0,0,0,0,0,0,0,0,1,1,Nov,Dec,11.6645348,92.7390448
pachmarhi,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,22.4736824,78.4360537
indore,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,22.6666672,75.749998
ratlam,1,1,1,1,1,0,0,0,0,1,1,1,Oct,May,23.583333,75.166667
pench,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar,21.8854685,79.1877054
bhopal,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,23.2530923,77.3962718
ujjain,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,23.174597,75.7851423
chanderi,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,24.6972843,78.1199365
mandav,1,1,1,0,0,0,1,1,1,1,1,1,Jul,Mar,31.7070167,76.9287174
gwalior,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,26.2,78.2
orchha,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,25.3528706,78.6402465
jabalpur,1,0,0,0,0,0,0,0,0,1,1,1,Oct,Jan,23.1609382,79.9497166
bandhavgarh,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,23.72433645,80.9280503631337
kanha,0,0,1,0,0,0,0,0,0,0,0,0,Mar,Mar,22.2766989,80.6300919
omkareshwar,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,22.2429799,76.1495705
khajuraho,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,24.8515132,79.9259786
amarkantak,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,22.670465,81.7588417
dewas,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,23.0,76.166667
chhatarpur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,24.75,79.75
vidisha,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,23.916667,78.0
sagar,1,0,0,0,0,0,0,0,0,0,1,1,Nov,Jan,23.8417793,78.7466817
tezpur,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,26.6245082,92.7910207
jorhat,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,26.7577925,94.2079645
silchar,0,0,0,0,1,1,0,0,0,0,0,0,May,Jun,24.829588,92.797148
guwahati,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,26.1805978,91.753943
haflong,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,25.1480239,93.0320347
kaziranga,1,1,1,1,0,0,0,0,0,0,1,1,Nov,Apr,26.5787,93.2415
dibrugarh,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,27.4844597,94.9019447
sibsagar,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,26.9834936,94.6394226
hosur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,12.7328844,77.8309478
mamallapuram,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,12.6195002,80.1936663
thiruchendur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,8.4960883,78.1291768981867
kumbakonam,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,10.9604108,79.3820861
vellore,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,12.9071753,79.1309695
dindigul,1,1,1,0,0,0,0,0,1,1,1,1,Sept,Mar,10.3655454,77.9695727
ooty,0,0,0,0,1,1,0,0,0,0,0,0,May,Jun,11.4126769,76.7030504
erode,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,11.3306483,77.7276519
tiruvannamalai,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,12.2343228,79.0761989
tirunelveli,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,8.7295261,77.6852354
