Place,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Start,End
salem,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
palani,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
thiruvanru,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
teni,1,1,1,1,1,0,0,0,0,1,1,1,Oct,May
chidambaram,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
pollachi,1,1,0,0,0,0,0,0,0,0,0,1,Dec,Feb
tiruchirappalli,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar
thanjavur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
tenkasi,1,1,1,0,0,0,1,1,1,1,1,1,Jul,Mar
thoothukkudi,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
dharmapuri,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb
yercaud,0,0,1,1,1,1,0,0,0,0,0,0,Mar,Jun
krishnagiri,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
darbhanga,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
patna,0,0,0,0,0,0,0,0,0,1,1,1,Oct,Dec
bodh gaya,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
siwan,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
buxar,1,1,1,1,0,0,0,0,0,1,1,1,Oct,Apr
nalanda,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
silvassa,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar
aizawl,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar
dimapur,1,1,1,1,0,0,0,0,0,1,1,1,Oct,Apr
kohima,1,1,1,1,1,0,0,0,0,1,1,1,Oct,May
tirupati,1,1,1,0,0,0,0,0,1,1,1,1,Sept,Mar
dindi,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
cuddapah,1,1,1,0,0,0,0,0,0,0,0,1,Dec,Mar
kakinada,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar
guntur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
vijayawada,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
visakhapatnam,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb
kurnool,1,1,0,0,0,0,0,0,0,0,0,1,Dec,Feb
adoni,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
rajahmundry,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
nellore,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
ongole,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
srisailamgudem devasthanam,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
puttaparthi,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb
wayanad,1,1,1,1,0,0,0,0,0,1,1,1,Oct,Apr
changanassery,1,1,0,0,0,0,0,0,0,0,0,1,Dec,Feb
chengannur,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
ernakulam,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
